Code,Location,Site,Day,Month,Year,Depth,Replicate,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
PSD-NW-D3-2016-4-20-T3,Pulau Subar Darat,PSD-NW,20,4,2016,3,3,25,0,0,0,0,0,0,0,0,0,125,84,0,110,0,62,0,45,30,70,0,0,0,24,0,0,0,0,45,0,15,0,70,0,0,0,35,0,0,0,0,34,51,0,74,0,0,0,0,71,0,105,0,0,0,0,0,0,10,0,1085
PSD-NW-D3-2016-4-20-T4,Pulau Subar Darat,PSD-NW,20,4,2016,3,4,0,0,0,0,0,0,0,0,0,0,0,9,0,271,0,47,0,10,65,55,0,0,0,12,0,0,0,0,62,0,14,0,60,0,0,30,0,0,0,10,446,0,33,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194
PSD-NW-D3-2016-4-20-T5,Pulau Subar Darat,PSD-NW,20,4,2016,3,5,0,0,0,0,0,0,0,0,0,0,0,31,120,0,0,50,0,46,67,0,0,0,0,0,0,42,0,0,0,0,55,0,100,0,0,0,0,0,0,0,126,0,45,0,153,0,0,0,0,0,0,55,0,0,0,0,0,0,67,0,957
PSD-NW-D3-2020-1-30-T1,Pulau Subar Darat,PSD-NW,30,1,2020,3,1,26,0,0,0,0,0,0,0,0,14,24,50,0,0,0,41,0,0,5,0,0,0,0,9,0,0,0,0,19,0,124,0,0,0,0,0,55,0,0,46,0,17,40,0,36,0,0,0,0,17,0,98,40,0,0,0,0,0,19,0,680
PSD-NW-D3-2020-1-30-T2,Pulau Subar Darat,PSD-NW,30,1,2020,3,2,0,0,3,0,0,0,0,0,0,0,196,0,0,150,0,30,0,0,0,0,0,0,0,68,0,0,0,0,61,0,45,0,46,0,0,0,0,0,0,236,49,0,98,0,141,0,0,0,20,121,0,5,15,0,0,0,0,0,66,0,1350
PSD-NW-D3-2020-1-30-T3,Pulau Subar Darat,PSD-NW,30,1,2020,3,3,25,0,0,0,0,0,0,0,0,0,120,20,0,34,10,8,0,0,64,46,0,0,0,25,0,0,0,0,17,0,76,0,45,61,0,0,0,0,0,50,22,14,48,0,40,0,0,0,0,61,0,85,26,0,0,0,0,0,33,0,930
PSD-NW-D3-2020-1-30-T4,Pulau Subar Darat,PSD-NW,30,1,2020,3,4,0,0,0,0,0,0,0,0,0,0,35,26,28,298,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,47,0,0,0,0,0,0,0,198,0,13,0,51,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,843
PSD-NW-D3-2020-1-30-T5,Pulau Subar Darat,PSD-NW,30,1,2020,3,5,0,0,5,0,0,0,0,0,0,15,55,0,0,76,0,38,7,0,30,20,0,0,0,0,0,0,0,0,0,0,20,0,35,0,0,15,10,0,30,0,193,0,59,0,29,0,0,0,0,22,0,64,0,0,0,0,0,0,20,0,743
PSD-SW-D3-2016-10-11-T1,Pulau Subar Darat,PSD-SW,11,10,2016,3,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,53,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,33,0,0,0,77,0,0,0,98,7,37,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,364
PSD-SW-D3-2016-10-11-T2,Pulau Subar Darat,PSD-SW,11,10,2016,3,2,0,0,0,0,0,0,0,0,0,25,0,25,18,38,0,112,0,0,0,0,0,0,0,0,0,0,0,67,4,0,25,0,110,0,0,0,0,0,0,0,58,20,5,0,4,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0,556
PSD-SW-D3-2016-10-11-T3,Pulau Subar Darat,PSD-SW,11,10,2016,3,3,0,0,0,0,0,0,37,0,0,54,0,26,35,0,0,62,0,0,0,39,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,43,0,0,0,77,45,104,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,582
PSD-SW-D3-2016-10-11-T4,Pulau Subar Darat,PSD-SW,11,10,2016,3,4,0,0,0,0,0,0,42,0,0,0,0,0,9,0,0,33,0,0,0,20,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,0,58,0,34,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,20,0,321
PSD-SW-D3-2016-10-11-T5,Pulau Subar Darat,PSD-SW,11,10,2016,3,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,60,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,124,7,12,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,293
PSL-SE-D3-2019-11-8-T1,Pulau Subar Laut,PSL-SE,8,11,2019,3,1,65,0,0,0,0,0,0,0,0,0,113,0,0,85,0,65,0,0,39,0,0,0,0,40,0,0,100,0,37,0,15,0,22,0,0,0,7,0,0,0,0,0,54,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,944
