Code,Location,Site,Day,Month,Year,Depth,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
LZ-E-D3-2016-11-25,Lazarus Island,LZ-E,25,11,2016,3,3,0,0,0,3,0,0,0,0,1.4,133.4,24,0,15,0,33.2,0,5,0,13.4,0,0,0,13,0,0,0,0,0,0,16.2,0,0,0,0,10,28.8,0,0,0,62.2,0,5,3.6,35.4,0,6,0,0,0,0,17.8,0,0,0,0,0,0,19,0,448.4
LZ-SW-D3-2016-11-24,Lazarus Island,LZ-SW,24,11,2016,3,0,0,0,9.4,0,0,19.6,0,0,0,0,6,13.2,0,0,19.6,0,0,26.6,8.6,0,0,0,5.6,0,0,0,0,7,0,1,0,20.8,0,0,16,52.6,0,0,8,50,18,30.4,0,11,0.8,0,0,0,0,0,33,8.6,0,0,0,0,0,1,0,366.8
LZ-W-D10-1990-4-7,Lazarus Island,LZ-W,7,4,1990,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,16.66666667
LZ-W-D3-1990-4-10,Lazarus Island,LZ-W,10,4,1990,3,0,0,0,0,0,0,0,3.4,0,4.6,0,7.8,0,6.4,2.6,5.2,2,3.8,11.4,4,0,0,1.6,0,0,0,0,5.6,0,0,0,0,3,0,0,0,13.4,0,0,19.4,202.2,2.2,39,0,0,5.2,0,1,0,5.8,0,17.8,11,0,0,0,0,0,0,8.4,386.8
LZ-W-D0-1990-8-21,Lazarus Island,LZ-W,21,8,1990,0,0,58.8,0,0,0,0,0,0,3.4,0,103.2,0,0,30.8,51.2,12,3.2,32.8,115.2,17.6,0,0,0,42.4,0,0,0,0,0,0,1.6,0,244.8,0,0,29,1,0,0,30.8,49.2,0,195,0,16.8,0,0,0,0,0,0,71.8,48.6,0,0,0,0,0,32,2.4,1193.6
LZ-W-D6-1990-4-24,Lazarus Island,LZ-W,24,4,1990,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0,0,0,0,2,0,0,0,2,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2
HA-NE-D0-1988-3-1,Pulau Hantu,HA-NE,1,3,1988,0,0,6,0,0,0,0,0,0,0,0,0,8,0,6,10,0,4.2,22.4,0,0,0,0,0,35.8,0,0,0,0,4,0,0,0,42.6,0,0,334,0,0,0,12,14.6,0,24.4,0,11,0,0,0,0,0,0,37.8,24,0,0,0,0,0,0,4,600.8
HA-NE-D6-1988-3-1,Pulau Hantu,HA-NE,1,3,1988,6,0,0,0,0,0,0,0,0,0,5,20,5,10,2,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2.5,0,1.25,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,10.75,92.25
HA-NE-D3-2018-10-8,Pulau Hantu,HA-NE,8,10,2018,3,0,0,0,17.8,0,0,8,0,0,1,0,11,0,0,0,13.4,4.8,2,27.4,13.8,0,0,0,11.6,0,0,0,0,0,0,2.6,0,0,0,0,0,35.8,0,0,0,8,0,28,0,11.2,0.8,0,0,0,26.6,0,46.2,0,0,0,0,0,0,22,0,292
HA-NE-D10-1987-2-16,Pulau Hantu,HA-NE,16,2,1987,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5
