Core,DepthConsolidated,Location,Unknown,Goniopora,Dipsastraea,Montipora,Porites,Echinopora,Euphyllia,Acropora,Heliopora,Fungia,Merulina,Diploastrea,Tubastraea,Astreopora,Platygyra,Echinophyllia,Hydnophora,Pachyseris,Turbinaria,Pavona,Pectinia,Oxypora,Goniastrea,Cyphastrea,Podabacia,Favites,Pseudosiderastrea,Psammocora
HA06,65,West,0,0,0,0,0,0,0,0.537619699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462380301,0,0,0,0
HA06,70,West,0.076735688,0.923264312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,75,West,0,0.090282564,0,0.884906961,0,0,0,0,0,0,0.024810476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,80,West,0,0,0,0.264343541,0,0,0.700809574,0,0,0,0,0,0,0.034846885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,85,West,0.203274986,0,0,0,0,0,0.706004141,0,0,0,0.090720873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,90,West,0.048831899,0,0,0.951168101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,95,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,100,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,105,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,10,West,0.235812883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555214724,0.208972393,0,0,0,0,0,0,0,0,0,0,0
SM01,15,West,0,0,0,0.799525316,0,0,0,0.15585443,0,0,0,0,0,0,0,0.044620253,0,0,0,0,0,0,0,0,0,0,0,0
SM01,20,West,0,0,0,0.657754011,0,0,0,0,0,0,0,0,0,0,0,0,0.342245989,0,0,0,0,0,0,0,0,0,0,0
SM01,35,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,45,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,50,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,55,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,60,West,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,65,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,75,West,0,0,0,0.359649123,0.414642375,0,0,0,0,0,0,0,0,0,0,0,0,0.225708502,0,0,0,0,0,0,0,0,0,0
SM01,85,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,90,West,0.236747851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62034384,0.142908309,0,0,0,0,0,0,0,0
SM01,95,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,100,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,105,West,0.780905753,0.219094247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,110,West,0.092939202,0.161352782,0,0.04001549,0,0,0.705692526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,120,West,0.698045267,0,0,0,0,0,0,0.301954733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,125,West,0,0.90910919,0,0,0.09089081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,135,West,0,0.189435337,0.534608379,0,0.275956284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,140,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,145,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,150,West,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,155,West,0,0,0,0,0.8,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,160,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,165,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,175,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,180,West,0,0,0.547674419,0,0.452325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,185,West,0,0,0.682267442,0,0.317732558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,190,West,0,0,0.224133369,0,0.775866631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,195,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,200,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,210,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,215,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,220,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,225,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,230,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,235,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,240,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,245,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,15,West,0.141394996,0,0,0.858605004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,25,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
